Card#,Title,Artist,Year,SpotifyURL
1,Bodyguard (I Will Always Love You),Whitney Houston,1992,https://open.spotify.com/track/4eHbdreAnSOrDDsFfc4Fpm
2,American Beauty,Thomas Newman,1999,https://open.spotify.com/track/6XJGpirOP4Bgurcvkdanxb
3,Der Zauberer von Oz (Over The Rainbow),Judy Garland,1939,https://open.spotify.com/track/32lgKuOf0esvxQsh5tXAA5
4,Die Brücke am Kwai (The Colonel Bogey March),Malcolm Arnold,1957,https://open.spotify.com/track/0GJdlmUYa1oBqjcj93Z5GC
5,The Avengers,Alan Silvestri,2012,https://open.spotify.com/track/5SXsXjVJCWeJuf7FHvgBYR
6,Unsere kleine Farm,"David Rose,Daniel Caine Orchestra",1974,https://open.spotify.com/track/6hSimIHPO8ZowfmKrg0DXi
7,Avatar - Aufbruch nach Pandora (I See You),Leona Lewis,2009,https://open.spotify.com/track/2dTcKJ8mb8IWTxzxIkjanO
8,Das A-Team,Dominik Hause & Mike Post,1983,https://open.spotify.com/track/5Mhcs48UfZn7CeNv1wgNyT
9,Willow,James Horner,1988,https://open.spotify.com/track/2Dy9bSUlnypC8Rm5O1iTOZ
10,That Thing You Do!,The Wonders,1996,https://open.spotify.com/track/4O6ZaZrRCFfiZZKjnrXqlk
11,Beverly Hills Cop (Axel F),Harold Faltermeyer,1984,https://open.spotify.com/track/5w4DKOH3EsOPUuoHXieLtB
12,Das Leben ist schön (La vita è bella),Nicola Piovani,1997,https://open.spotify.com/track/6I8TkW9a8jhfJTyv0dBRe3
13,Cheers (Where Everybody Knows Your Name),Gary Portnoy,1982,https://open.spotify.com/track/2uE8l7sar0JT0tZYhrPz8S
14,A Star Is Born (Always Remember Us This Way),Lady Gaga,2018,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
15,Once (Falling Slowly),"Glen Hansard, Markéta Irglová",2007,https://open.spotify.com/track/6EIVLz5xM1xE29r0OmIkWt
16,Das erstaunliche Leben des Walter Mitty (Stay Alive),José González,2013,https://open.spotify.com/track/7KZEng72L62b06E7QM95zb
17,Ein Offizier und ein Gentleman (Up Where We Belong),"Joe Cocker, Jennifer Warnes",1982,https://open.spotify.com/track/2S1JhDcpEArlLTmNYhW4q5
18,Der Prinz von Bel-Air,DJ Jazzy Jeff & Will Smith,1990,https://open.spotify.com/track/0UREO3QWbXJW3gOUXpK1am
19,Gladiator (Now We Are Free),Hans Zimmer,2000,https://open.spotify.com/track/1elGwF4VwkwglV4nCBPJtv
20,Beverly Hills 90210,John E. Davis,1990,https://open.spotify.com/track/1m2iupVGsU00qSnuedBg76
21,The Big Bang Theory,Barenaked Ladies,2007,https://open.spotify.com/track/5FCPN8g30PRH7lLgxDh9LQ
22,Grease (Summer Nights),"John Travolta, Olivia Newton-John",1978,https://open.spotify.com/track/2AVkArcfALVk2X8sfPRzya
23,James Bond 007 - GoldenEye,Tina Turner,1995,https://open.spotify.com/track/5pl4F8LPXEEc1Z674Lb8Ku
24,Narcos (Tuyo),Rodrigo Amarante,2015,https://open.spotify.com/track/6g2BiiVQqY5v1S4HIrM54F
25,Krieg der Sterne (Star Wars),John Williams,1977,https://open.spotify.com/track/1AR2uj8ADsuTRqPZBIXHCm
26,Casablanca (As Time Goes By),Dooley Wilson,1942,https://open.spotify.com/track/3gDPjU8URd9mtZhBBYwI2R
27,Black Panther (All The Stars),"Kendrick Lamar, SZA",2018,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
28,Stranger Things,Kyle Dixon & Michael Stein,2016,https://open.spotify.com/track/0kwuKfWntoGh0EWyYb7Mpf
29,Saturday Night Fever (Night Fever),Bee Gees,1977,https://open.spotify.com/track/0qemIQjSxcKyf42VPfZnfa
30,Pretty Woman (It Must Have Been Love),Roxette,1990,https://open.spotify.com/track/6kvoHl80mfCVTv7XnZkjQn
31,Selma (Glory),"Common, John Legend",2014,https://open.spotify.com/track/2fmqPLRFdJNPhLU3b2NSFp
32,Das Piano (The Heart Asks Pleasure First),Michael Nyman,1993,https://open.spotify.com/track/4RW7EZi7SHSLRwvn1Q8Mqj
33,La La Land (City Of Stars),"Ryan Gosling, Emma Stone",2016,https://open.spotify.com/track/6XQHlsNu6so4PdglFkJQRJ
34,2001 Odyssee im Weltraum (Also Spracht Zarathustra),Richard Strauss,1968,https://open.spotify.com/track/6flEbXsHV1u8Ks0xiHDsv0
35,The Walking Dead,Bear McCreary,2010,https://open.spotify.com/track/2cji350vUbvxQ9QwyL5Nkp
36,Platoon,Georges Delerue,1986,https://open.spotify.com/track/1zSkHrYVRdpDH8FwYjI9mD
37,Dreamgirls (Listen),Beyoncé,2006,https://open.spotify.com/track/0xAVL3SQa8SxKdWJgly6Ht
38,Arthur (Best That You Can Do),Christopher Cross,1981,https://open.spotify.com/track/5fnOrhQ4KgT5irGCjIccGH
39,Seinfeld,Jonathan Wolff,1989,https://open.spotify.com/track/1oo7pneuUHUEKdbH0TgiGc
40,Encanto (We Don't Talk About Bruno),Encanto Cast,2021,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
41,Phenomenon (Change the World),Eric Clapton,1996,https://open.spotify.com/track/0g4kJXE7uV4PkFUWw4wLe8
42,Who's That Girl,Madonna,1987,https://open.spotify.com/track/3G0NNqwQ1sqRpySr6soHlH
43,Cabaret,Liza Minnelli,1972,https://open.spotify.com/track/7AFy1aN1RQVgGOXzCtrK87
44,Top Gun (Take My Breath Away),Berlin,1986,https://open.spotify.com/track/15MJ5NThPjj6xhPcts8MiY
45,Terminator 2,Brad Fiedel,1991,https://open.spotify.com/track/2Q84nSfFAHtFNwZhAKH0Sa
46,Footloose,Kenny Loggins,1984,https://open.spotify.com/track/6W2VbtvMrDXm5vYeB7amkO
47,Frühstück bei Tiffany (Moon River),Audrey Hepburn,1961,https://open.spotify.com/track/2f7rgGH9WsMfn5jVYeKZ78
48,Sex And The City,Douglas J. Cuomo,1998,https://open.spotify.com/track/47noCMDQoFt1WQ59KBh8EZ
49,"Zwei glorreiche Halunken - The Good, The Bad And The Ugly",Ennio Morricone,1966,https://open.spotify.com/track/7lKJupmiFQF2ezlD1Z4isc
50,Pinocchio (When You Wish Upon a Star),Cliff Edwards,1940,https://open.spotify.com/track/1WrPa4lrIddctGWAIYYfP9
51,Yellow Submarine,The Beatles,1968,https://open.spotify.com/track/1tdltVUBkiBCW1C3yB4zyD
52,"Der Mann, der zuviel wusste (Que Sera Sera)","Doris Day, Frank DeVol",1956,https://open.spotify.com/track/3Dnv944x31XU4FFMlkfnWN
53,Batman,Danny Elfman,1989,https://open.spotify.com/track/50csT5Qb2qOF7lHdDQ1Sbx
54,Armageddon (I Don't Want to Miss a Thing),Aerosmith,1998,https://open.spotify.com/track/225xvV8r1yKMHErSWivnow
55,Shaft,Isaac Hayes,1971,https://open.spotify.com/track/7KMILVTQdVS4zQ8ilTcpRO
56,Das Leben des Brian (Always Look On The Bright Side Of Life),Monty Python,1979,https://open.spotify.com/track/4w4PgMDgs76fjkclszAeBg
