Card#,Title,Artist,Year,SpotifyURL
1,Wann wird's mal wieder richtig Sommer,Rudi Carrell,1975,https://open.spotify.com/track/2JHRPXa7cVtsRjMb30a9KE
2,You Can Call Me Al,Paul Simon,1986,https://open.spotify.com/track/0qxYx4F3vm1AOnfux6dDxP
3,Start Me Up,The Rolling Stones,1981,https://open.spotify.com/track/0INM0SfWqrD33nTDGA5Mts
4,The Twist,Chubby Checker,1960,https://open.spotify.com/track/4YCnTYbq3oL1Lqpyxg33CU
5,Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,2013,https://open.spotify.com/track/0n4bITAu0Y0nigrz3MFJMb
6,Hangover,"Taio Cruz, Flo Rida",2011,https://open.spotify.com/track/5pmL3RzOy3IvGFaSDi4hZL
7,One More Time,Daft Punk,2000,https://open.spotify.com/track/0DiWol3AO6WpXZgp0goxAV
8,China In Your Hand,T'Pau,1987,https://open.spotify.com/track/0ow5yxh0ouMJ0om8EyEt8P
9,The Best,Tina Turner,1989,https://open.spotify.com/track/4OeFQtRyT7vsLnRTv7t8YT
10,The Hustle,Van McCoy & The Soul City Symphony,1975,https://open.spotify.com/track/06sImcalauWP5m1XIWTLTI
11,Piece of My Heart,Erma Franklin,1967,https://open.spotify.com/track/2GbePPrWWSRxcmW6QRSPae
12,Hungry Eyes,Eric Carmen,1987,https://open.spotify.com/track/3sTSo8X7UCDTVUVMJ63LJO
13,Karma Chameleon,Culture Club,1983,https://open.spotify.com/track/3XDeeP9wBZzGhIPZmLfEEx
14,99 Luftballons,Nena,1983,https://open.spotify.com/track/6jdhEJvstaoKKpxCHgIbUo
15,Beinhart,Torfrock,1990,https://open.spotify.com/track/3nOernkswNwTfHHGya0GAk
16,In Da Club,50 Cent,2003,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
17,Don't Go,Yazoo,1982,https://open.spotify.com/track/098JUtp63d1Hsge11VuoD2
18,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
19,7 Years,Lukas Graham,2015,https://open.spotify.com/track/23ihGIrYOSzNNGJ6STAxI4
20,Sugar-Baby,Peter Kraus,1958,https://open.spotify.com/track/6OnOIWxhezuZjF4APOl7oF
21,Lean On (feat. MØ),Major Lazer & DJ Snake,2015,https://open.spotify.com/track/2YWjW3wwQIBLNhxWKBQd16
22,Einmal um die Welt,CRO,2012,https://open.spotify.com/track/6gQAyT7B7cYGTRBOiFdQUS
23,Ich will keine Schokolade,Trude Herr,1960,https://open.spotify.com/track/48N0qA4BX71bCNFTRq1CbG
24,80 Millionen,Max Giesinger,2016,https://open.spotify.com/track/2ladamWCFAfQbgIIdkewAx
25,Friday I'm In Love,The Cure,1992,https://open.spotify.com/track/4QlzkaRHtU8gAdwqjWmO8n
26,What Is Love,Haddaway,1993,https://open.spotify.com/track/7JkZ2hQdDonRURJjlMuh8q
27,Auf uns,Andreas Bourani,2014,https://open.spotify.com/track/6dXt4t5jgySnVTeTpT4C0l
28,Don't Stop Believin',Journey,1981,https://open.spotify.com/track/77NNZQSqzLNqh2A9JhLRkg
29,Orinoco Flow,Enya,1988,https://open.spotify.com/track/0Fyj9w0HVfjoxm9S8nGClt
30,Über den Wolken,Reinhard Mey,1974,https://open.spotify.com/track/5JSzcnZbYk3qv3nEn5Bo41
31,Rehab,Amy Winehouse,2006,https://open.spotify.com/track/1L5tZi0izXsi5Kk5OJf4W0
32,Liebeskummer lohnt sich nicht,Siw Malmkvist,1964,https://open.spotify.com/track/5wfSJoeeGeyovIOYHyqi2O
33,You Make Me Feel (Mighty Real),Sylvester,1978,https://open.spotify.com/track/0RnCUYXa7jhgTXtiMXF2PQ
34,Sweet Home Alabama,Lynyrd Skynyrd,1974,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
35,He Ain't Heavy He's My Brother,The Hollies,1969,https://open.spotify.com/track/0iyU2lKZDTm6HM4lWjH77J
36,Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,1972,https://open.spotify.com/track/0oH9kW4faMsq9YgRYirgD0
37,Manic Monday,The Bangles,1986,https://open.spotify.com/track/7Di7t9yGoxdZRLAt5a4pi0
38,Paradise By the Dashboard Light,Meat Loaf,1978,https://open.spotify.com/track/2g7gviEeJr6pyxO7G35EWQ
39,Never Ending Story,Limahl,1984,https://open.spotify.com/track/1F43XlPBiwAUUIhrUGzylO
40,Don't Call Me Up,Mabel,2019,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
41,Under the Bridge,Red Hot Chili Peppers,1992,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0
42,König von Deutschland,Rio Reiser,1986,https://open.spotify.com/track/4Hg99jQ6zjks47xaH8eK40
43,Upside Down,Diana Ross,1980,https://open.spotify.com/track/3pbtBomO4Zt5gGiqsYeiBH
44,Don't Speak,No Doubt,1996,https://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS
45,(I Can't Get No) Satisfaction,The Rolling Stones,1965,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
