Card#,Title,Artist,Year,SpotifyURL
1,"Nachts, wenn alles schläft...",Howard Carpendale,1979,https://open.spotify.com/track/4AG4MNl8EvTuMrtQytacPc
2,Love Shack,The B-52's,1989,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL
3,Wake Me Up Before You Go-Go,Wham!,1984,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c
4,Daydream Believer,The Monkees,1967,https://open.spotify.com/track/7uEcCGtM1FBBGIhPozhJjv
5,Issues,Julia Michaels,2017,https://open.spotify.com/track/7vu0JkJh0ldukEYbTVcqd0
6,Black Saturday,Mando Diao,2014,https://open.spotify.com/track/5WhqLY64g8U6tkUAFv6dzD
7,The Weekend,Michael Gray,2004,https://open.spotify.com/track/4c2wdAMuL7KkGVeyRqmYQu
8,I Will Always Love You,Whitney Houston,1992,https://open.spotify.com/track/4eHbdreAnSOrDDsFfc4Fpm
9,Tears in Heaven,Eric Clapton,1992,https://open.spotify.com/track/1kgdslQYmeTR4thk9whoRw
10,Woman In Love,Barbra Streisand,1980,https://open.spotify.com/track/1pTGc8pwyo6xtgXBKCBcFn
11,Please Mr. Postman,Carpenters,1974,https://open.spotify.com/track/74jZhGv0fdLaf9q8AZZ15k
12,Crucified,Army Of Lovers,1991,https://open.spotify.com/track/09OKEiKltU6AvvrEtE92OY
13,Holiday,The Other Ones,1986,https://open.spotify.com/track/6BOr4LUEiAeg0xUtsgZ6Ri
14,Hijo de la Luna,Mecano,1986,https://open.spotify.com/track/7g3g2sqevicvurLTZ75JTA
15,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,https://open.spotify.com/track/4UrgDocbHywDZv2f3mBhCq
16,Soulmate,Natasha Bedingfield,2007,https://open.spotify.com/track/3DuHOCe1dbf3XKF8uoc5oM
17,Faust auf Faust (Schimanski),Klaus Lage,1985,https://open.spotify.com/track/4nd9gG5VO6nYcw9Sd93I0Q
18,Because I Love You,Stevie B,1990,https://open.spotify.com/track/31KFfR180bYoPqqy671tXm
19,Anywhere,Rita Ora,2018,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
20,Can't Take My Eyes off You,Frankie Valli,1967,https://open.spotify.com/track/6ft9PAgNOjmZ2kFVP7LGqb
