Card#,Title,Artist,Year,SpotifyURL
1,You Came,Kim Wilde,1988,https://open.spotify.com/track/4EA4ybyDidKtkER5IhasZe
2,Sweet Dreams,La Bouche,1994,https://open.spotify.com/track/2wz5weI4PREzpexKfrKgwv
3,Love And Marriage,Frank Sinatra,1955,https://open.spotify.com/track/2kKvwBX4Qsn1CpbqjtNyad
4,Twistin' the Night Away,Sam Cooke,1962,https://open.spotify.com/track/7FS541dJh3iQAEXEZoDhE6
5,Heavy Cross,Gossip,2009,https://open.spotify.com/track/4N6R6yqkFUTyF3AYOdR0T7
6,Cat's in the Cradle,Harry Chapin,1974,https://open.spotify.com/track/2obblQ6tcePeOEVJV6nEGD
7,Fairytale Gone Bad,Sunrise Avenue,2006,https://open.spotify.com/track/38LgksKBjt5aes7nlOXPIL
8,Maid of Orleans - Live,OMD,1981,https://open.spotify.com/track/6v0QCacSUQypAtUaoBKVX0
9,Fürstenfeld,S.T.S,1984,https://open.spotify.com/track/2n3ERDAyw57jX3iLZfADse
10,Secret Love,Bee Gees,1991,https://open.spotify.com/track/6O7nMW8pIAk8m9ub6azaF9
11,Centerfold,The J. Geils Band,1981,https://open.spotify.com/track/1ynmMEK1fkyiZ6Z6F3ThEt
12,You Never Walk Alone,Mathou,1992,https://open.spotify.com/track/42V9j4E1XraaV3SlQZnTFG
13,Ashes To Ashes,David Bowie,1980,https://open.spotify.com/track/1OYP05lTVheLYUanirbcTe
14,Sweet but Psycho,Ava Max,2018,https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI
15,Nine Million Bicycles,Katie Melua,2005,https://open.spotify.com/track/2lL1cy6yQ9hBMxZgkaY173
16,Alejandro,Lady Gaga,2010,https://open.spotify.com/track/3clsCV1f1E9u1Fge9ntulk
17,What You're Proposing,Status Quo,1980,https://open.spotify.com/track/3nhpHXLDOjNDPeE8sxYq2g
18,Suburbia,Pet Shop Boys,1986,https://open.spotify.com/track/3F4JxbEkur9ZXAtQ5GFVXB
19,Adiemus,Karl Jenkins,1995,https://open.spotify.com/track/54CAG8n70kKVbFV6l1zF4G
20,You Can Leave Your Hat On,Joe Cocker,1986,https://open.spotify.com/track/1x9iOd3K1JC6tdjGZJpFgZ
21,Wake Me up When September Ends,Green Day,2004,https://open.spotify.com/track/3ZffCQKLFLUvYM59XKLbVm
22,Mull Of Kintyre,Wings,1977,https://open.spotify.com/track/24RwOcKkC0hdiN1j3zjN1E
23,Blaze Of Glory,Jon Bon Jovi,1990,https://open.spotify.com/track/0XwjdpwvEwukcg3XU4Ibzt
24,Diamonds,Rihanna,2012,https://open.spotify.com/track/6O20JhBJPePEkBdrB5sqRx
25,In Zaire,Johnny Wakelin,1976,https://open.spotify.com/track/2l6M2T0qbI74GXd7MqQhbw
26,C’Mon Everybody,Eddie Cochran,1958,https://open.spotify.com/track/7ItZM6DMZE2m1X7yIaRxjq
27,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
28,Roar,Katy Perry,2013,https://open.spotify.com/track/27tNWlhdAryQY04Gb2ZhUI
29,Jeans On,David Dundas,1976,https://open.spotify.com/track/2jxuI4zNuFKQfTryWQRq6M
30,Kiss,Prince,1986,https://open.spotify.com/track/62LJFaYihsdVrrkgUOJC05
31,Let Her Go,Passenger,2012,https://open.spotify.com/track/4bzBPrGYD3fQfAadLgIiwT
32,If I Could Turn Back Time,Cher,1989,https://open.spotify.com/track/6mYrhCAGWzTdF8QnKuchXM
33,Ham kummst Single,Seiler und Speer,2014,https://open.spotify.com/track/0Eqq5SPAKJOwUwFtQ9YJ2W
34,You Can Get It If You Really Want,Desmond Dekker,1970,https://open.spotify.com/track/1Vwvlg5av6Bfp9yjmu05yJ
35,Almost Lover,A Fine Frenzy,2007,https://open.spotify.com/track/71ehTADpxs85ULrZgSEKCy
36,Holding Out for a Hero,Bonnie Tyler,1984,https://open.spotify.com/track/4ojl5o30oQFdavVkpYYgYk
37,Powerless (Say What You Want),Nelly Furtado,2003,https://open.spotify.com/track/4EdOyT1E50Nhnv6dGOmIT4
38,You Shook Me All Night Long,AC/DC,1980,https://open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
39,Nikita,Elton John,1985,https://open.spotify.com/track/3G0ENKW9vzV0SuYKaWFflI
40,Beautiful Madness,Michael Patrick Kelly,2020,https://open.spotify.com/track/4tfLFDGypUWad5AT6772If
41,Word Of Mouth,Mike + The Mechanics,1991,https://open.spotify.com/track/5hkDVHllJDgj4ynguaT2Ax
42,The Riddle,Nik Kershaw,1984,https://open.spotify.com/track/6sn3FHCq2csvNkq2h9Au8V
43,Angry,The Rolling Stones,2023,https://open.spotify.com/track/0daHbdrLvUmkh81rnolMcG
44,Weus'd a Herz hast wia a Bergwerk,Rainhard Fendrich,1983,https://open.spotify.com/track/23EkZsgFWesLlXjqrHzbpx
45,A Groovy Kind of Love,Phil Collins,1988,https://open.spotify.com/track/5OHUTC4EvTbL0DuZQRIGGX
46,HALLO KLAUS (I wü zruck zu Dir) ZRUCK ZU DIR (Hallo Klaus) - Orginal '83 (weibliche Version),Nickerbocker & Biene,1982,https://open.spotify.com/track/5OsHWD22P4lg2wP58C6mCw
47,Hang on Sloopy,The McCoys,1965,https://open.spotify.com/track/36NX19wOQQEYyULfnuLnWc
48,Cryin',Aerosmith,1993,https://open.spotify.com/track/4t1fWWJQs5V9YErfsrDslC
49,Paranoid,Black Sabbath,1970,https://open.spotify.com/track/3hwuHzRicnu6Ji9i1JLzor
50,I'm Walkin',Fats Domino,1957,https://open.spotify.com/track/2gZlblsff9FKnhSIwB2ZsU
51,The Night They Drove Old Dixie Down,Joan Baez,1971,https://open.spotify.com/track/0uHYplBhwLYey7f9qAmnSM
52,Hey! Baby,Bruce Channel,1961,https://open.spotify.com/track/5ATFGyF7RbheJ76neYI55u
53,Bello e impossibile,Gianna Nannini,1986,https://open.spotify.com/track/3dZHWv3IsAQLzAr7FLJoJA
54,Wild World,Mr. Big,1993,https://open.spotify.com/track/4LxrmBgBLQc2oU60r6cBPW
55,I'd Love You to Want Me,Lobo,1972,https://open.spotify.com/track/71CXzHYYOyNqgtVFpNdeCS
56,Wuthering Heights,Kate Bush,1978,https://open.spotify.com/track/5YSI1311X8t31PBjkBG4CZ
57,Sex on Fire,Kings of Leon,2008,https://open.spotify.com/track/0ntQJM78wzOLVeCUAW7Y45
58,An guten Tagen,Johannes Oerding,2019,https://open.spotify.com/track/5UUtkgpCWxV9JtQP8iqOzy
59,Love Is A Shield,Camouflage,1989,https://open.spotify.com/track/7IBff7ScohvP2pdfHR6YLE
60,Bad,Michael Jackson,1987,https://open.spotify.com/track/3tS8q8SXxtrYSN8UgeQt6q
61,Angels,Robbie Williams,1997,https://open.spotify.com/track/1M2nd8jNUkkwrc1dgBPTJz
62,Ma Baker,Boney M.,1977,https://open.spotify.com/track/1BqnZOkYJbvYLOhN0qPJDm
63,Eye of the Tiger,Survivor,1982,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2
64,Higher Power,Coldplay,2021,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
65,Ballroom Blitz,Sweet,1973,https://open.spotify.com/track/6k6j3ZUljY1QLTMbc8VqB0
